id,path,question,a,b,c,d,answer
dev_0043.jpg,train2/dev_0043.jpg,사진에 보이는 재활용 가능한 플라스틱 포장지는 몇 개입니까?,1개,2개,3개,4개,d
dev_0043.jpg,train2/dev_0043.jpg,사진 속 재활용 가능한 플라스틱 포장지는 몇 개인가요?,1개,3개,2개,4개,d
dev_0049.jpg,train2/dev_0049.jpg,사진 속 책상 위에 있는 재활용 가능한 플라스틱 컵은 몇 개입니까?,1개,2개,3개,4개,b
dev_0049.jpg,train2/dev_0049.jpg,사진에 보이는 책상 위에 있는 재활용 가능한 플라스틱 컵은 몇 개인가요?,4개,2개,1개,3개,b
dev_0055.jpg,train2/dev_0055.jpg,책상 위에 있는 재활용 가능한 비닐 포장지는 몇 개입니까?,1개,2개,3개,4개,d
dev_0055.jpg,train2/dev_0055.jpg,책상 위에 있는 재활용 가능한 비닐 포장지는 몇 개인가요?,2개,3개,1개,4개,d
dev_0058.jpg,train2/dev_0058.jpg,사진에 보이는 플라스틱 용기의 개수는 몇 개인가요?,3개,4개,5개,6개,b
dev_0058.jpg,train2/dev_0058.jpg,사진 속 플라스틱 용기의 개수는 몇 개입니까?,4개,6개,3개,5개,a
dev_0059.jpg,train2/dev_0059.jpg,사진에 보이는 재활용 가능한 플라스틱 용기는 몇 개인가요?,1개,2개,3개,4개,b
dev_0059.jpg,train2/dev_0059.jpg,사진 속 재활용 가능한 플라스틱 용기는 몇 개입니까?,1개,4개,3개,2개,d
dev_0066.jpg,train2/dev_0066.jpg,사진에 보이는 재활용 가능한 플라스틱 포장지의 개수는 몇 개인가요?,2개,3개,4개,5개,d
dev_0066.jpg,train2/dev_0066.jpg,사진 속 재활용 가능한 플라스틱 포장지의 개수는 몇 개입니까?,4개,3개,5개,2개,c
dev_0067.jpg,train2/dev_0067.jpg,책상 위에 있는 재활용 가능한 플라스틱 컵에는 무엇이 들어 있나요?,커피,아이스티,물,주스,a
dev_0067.jpg,train2/dev_0067.jpg,책상 위에 있는 재활용 가능한 플라스틱 컵에는 무엇이 들어 있습니까?,물,아이스티,주스,커피,d
dev_0068.jpg,train2/dev_0068.jpg,사진에 보이는 재활용품 중 캔은 몇 개 있나요?,1개,2개,3개,없다,b
dev_0068.jpg,train2/dev_0068.jpg,사진 속 재활용품 중 캔은 몇 개 있습니까?,3개,2개,없다,1개,b
dev_0095.jpg,train2/dev_0095.jpg,사진 속 비닐봉지 안에 들어있는 재활용품 중에서 몇 개의 플라스틱 컵이 보이나요?,1개,2개,3개,4개,a
dev_0095.jpg,train2/dev_0095.jpg,사진에 보이는 비닐봉지 안에 들어있는 재활용품 중에서 몇 개의 플라스틱 컵이 보입니까?,2개,3개,1개,4개,c
dev_0102.jpg,train2/dev_0102.jpg,사진에 보이는 재활용 가능한 플라스틱 용기의 개수는 몇 개인가요?,7개,8개,9개,10개,b
dev_0102.jpg,train2/dev_0102.jpg,사진 속 재활용 가능한 플라스틱 용기의 개수는 몇 개입니까?,9개,10개,8개,7개,c
dev_0106.jpg,train2/dev_0106.jpg,사진에 보이는 재활용 가능한 플라스틱 용기는 몇 개입니까?,1개,2개,3개,4개,d
dev_0106.jpg,train2/dev_0106.jpg,사진 속 재활용 가능한 플라스틱 용기는 몇 개인가요?,1개,3개,2개,4개,d
dev_0120.jpg,train2/dev_0120.jpg,서랍 안에 있는 재활용 가능한 종이류는 몇 개입니까?,3개,5개,7개,9개,d
dev_0120.jpg,train2/dev_0120.jpg,서랍 안에 있는 재활용 가능한 종이류는 몇 개인가요?,3개,9개,7개,5개,b
dev_0140.jpg,train2/dev_0140.jpg,사진에 보이는 유리잔은 총 몇 개입니까?,3개,4개,5개,6개,d
dev_0140.jpg,train2/dev_0140.jpg,사진 속 유리잔은 총 몇 개인가요?,6개,3개,5개,4개,a
dev_0146.jpg,train2/dev_0146.jpg,사진 속 재활용품 중 플라스틱 컵은 몇 개 있나요?,2개,3개,4개,5개,c
dev_0146.jpg,train2/dev_0146.jpg,사진에 보이는 재활용품 중 플라스틱 컵은 몇 개 있습니까?,5개,2개,4개,3개,c
dev_0148.jpg,train2/dev_0148.jpg,사진에 보이는 재활용 가능한 플라스틱 병은 몇 개입니까?,1개,2개,3개,4개 이상,d
dev_0148.jpg,train2/dev_0148.jpg,사진 속 재활용 가능한 플라스틱 병은 몇 개인가요?,3개,4개 이상,2개,1개,b
dev_0160.jpg,train2/dev_0160.jpg,사진에 보이는 재활용품 중 종이상자가 몇 개 있나요?,2개,3개,4개,5개,d
dev_0160.jpg,train2/dev_0160.jpg,사진 속 재활용품 중 종이상자가 몇 개 있습니까?,3개,5개,4개,2개,b
dev_0164.jpg,train2/dev_0164.jpg,책상 위에 보이는 재활용 가능한 플라스틱 포장지는 몇 개입니까?,3개,4개,5개,6개,a
dev_0164.jpg,train2/dev_0164.jpg,책상 위에 보이는 재활용 가능한 플라스틱 포장지는 몇 개인가요?,4개,6개,5개,3개,d
dev_0166.jpg,train2/dev_0166.jpg,사진에 보이는 재활용 가능한 플라스틱 의자의 개수는 몇 개인가요?,2개,3개,4개,5개,d
dev_0166.jpg,train2/dev_0166.jpg,사진 속 재활용 가능한 플라스틱 의자의 개수는 몇 개입니까?,3개,2개,4개,5개,d
dev_0170.jpg,train2/dev_0170.jpg,사진에 보이는 재활용 캔은 몇 개입니까?,1개,2개,3개,4개,b
dev_0170.jpg,train2/dev_0170.jpg,사진 속 재활용 캔은 몇 개인가요?,2개,3개,4개,1개,a
dev_0174.jpg,train2/dev_0174.jpg,사진에 보이는 재활용 봉투는 주로 어떤 재질의 재활용품을 담고 있습니까?,종이류,플라스틱류,유리병,금속캔,a
dev_0174.jpg,train2/dev_0174.jpg,사진 속 재활용 봉투는 주로 어떤 재질의 재활용품을 담고 있나요?,유리병,종이류,금속캔,플라스틱류,b
dev_0180.jpg,train2/dev_0180.jpg,책상 위에 있는 '하루견과 Prime' 봉지의 개수는 몇 개인가요?,1개,2개,3개,4개,b
dev_0180.jpg,train2/dev_0180.jpg,책상 위에 있는 '하루견과 Prime' 봉지의 개수는 몇 개입니까?,1개,4개,2개,3개,c
dev_0184.jpg,train2/dev_0184.jpg,사진에 보이는 투명 플라스틱 컵은 몇 개입니까?,1개,2개,3개,4개,b
dev_0184.jpg,train2/dev_0184.jpg,사진 속 투명 플라스틱 컵은 몇 개인가요?,2개,3개,4개,1개,a
dev_0185.jpg,train2/dev_0185.jpg,사진에 보이는 재활용 가능한 플라스틱 컵은 몇 개입니까?,1개,2개,3개,4개,a
dev_0185.jpg,train2/dev_0185.jpg,사진 속 재활용 가능한 플라스틱 컵은 몇 개인가요?,4개,2개,1개,3개,c
dev_0192.jpg,train2/dev_0192.jpg,사진에 보이는 재활용 가능한 플라스틱 병 중에서 간장 용기로 사용된 병은 어느 것인가요?,빨간 뚜껑이 있는 투명 병,금색 뚜껑이 있는 투명 병,주황색 뚜껑이 있는 검은색 병,흰색 스프레이 뚜껑이 있는 파란색 병,b
dev_0192.jpg,train2/dev_0192.jpg,사진 속 재활용 가능한 플라스틱 병 중에서 간장 용기로 사용된 병은 어느 것입니까?,흰색 스프레이 뚜껑이 있는 파란색 병,주황색 뚜껑이 있는 검은색 병,빨간 뚜껑이 있는 투명 병,금색 뚜껑이 있는 투명 병,d
dev_0198.jpg,train2/dev_0198.jpg,사진에서 재활용 가능한 플라스틱 병은 몇 개 보이나요?,1개,2개,3개,4개,a
dev_0198.jpg,train2/dev_0198.jpg,사진에서 재활용 가능한 플라스틱 병은 몇 개 보입니까?,3개,2개,4개,1개,d
dev_0210.jpg,train2/dev_0210.jpg,사진에 보이는 재활용 가능한 종이 상자의 개수는 몇 개인가요?,2개,3개,4개,5개,a
dev_0210.jpg,train2/dev_0210.jpg,사진 속 재활용 가능한 종이 상자의 개수는 몇 개입니까?,2개,5개,3개,4개,a
dev_0212.jpg,train2/dev_0212.jpg,사진에 보이는 재활용 가능한 플라스틱 컵의 위치는 어디인가요?,바닥 중앙 근처,돌 조형물 위,철제 난간 옆,도로 가장자리,c
dev_0212.jpg,train2/dev_0212.jpg,사진 속 재활용 가능한 플라스틱 컵의 위치는 어디입니까?,철제 난간 옆,돌 조형물 위,바닥 중앙 근처,도로 가장자리,a
dev_0213.jpg,train2/dev_0213.jpg,사진 속 재활용품 중 캔의 개수는 몇 개인가요?,7개,9개,11개,13개,d
dev_0213.jpg,train2/dev_0213.jpg,사진에 보이는 재활용품 중 캔의 개수는 몇 개입니까?,7개,11개,13개,9개,c
dev_0216.jpg,train2/dev_0216.jpg,사진 속 재활용 봉투 중 투명한 플라스틱 병이 보이는 봉투는 어느 색인가요?,흰색 봉투,초록색 봉투,노란색 봉투,검은색 봉투,a
dev_0216.jpg,train2/dev_0216.jpg,사진에 보이는 재활용 봉투 중 투명한 플라스틱 병이 보이는 봉투는 어느 색인가요?,노란색 봉투,초록색 봉투,흰색 봉투,검은색 봉투,c
dev_0230.jpg,train2/dev_0230.jpg,사진 속 선반 위에 놓인 재활용 가능한 플라스틱 병은 몇 개입니까?,1개,2개,3개,4개,a
dev_0230.jpg,train2/dev_0230.jpg,사진에 보이는 선반 위에 놓인 재활용 가능한 플라스틱 병은 몇 개인가요?,3개,1개,2개,4개,b
dev_0232.jpg,train2/dev_0232.jpg,사진에 보이는 재활용 가능한 플라스틱 컵은 몇 개인가요?,3개,5개,7개,9개,d
dev_0232.jpg,train2/dev_0232.jpg,사진 속 재활용 가능한 플라스틱 컵은 몇 개입니까?,3개,9개,5개,7개,b
dev_0233.jpg,train2/dev_0233.jpg,사진에 보이는 투명 플라스틱 컵은 총 몇 개입니까?,5개,7개,9개,11개,d
dev_0233.jpg,train2/dev_0233.jpg,사진 속 투명 플라스틱 컵은 총 몇 개인가요?,11개,7개,9개,5개,a
dev_0234.jpg,train2/dev_0234.jpg,사진 속 재활용 가능한 플라스틱 컵은 몇 개 있나요?,1개,2개,3개,4개,b
dev_0234.jpg,train2/dev_0234.jpg,사진에 보이는 재활용 가능한 플라스틱 컵은 몇 개 있습니까?,4개,2개,1개,3개,b
dev_0249.jpg,train2/dev_0249.jpg,사진 속 재활용 가능한 컵은 무엇인가요?,플라스틱 일회용 컵,종이컵,스테인리스 텀블러,유리병,a
dev_0249.jpg,train2/dev_0249.jpg,사진에 보이는 재활용 가능한 컵은 무엇입니까?,플라스틱 일회용 컵,유리병,스테인리스 텀블러,종이컵,a
dev_0251.jpg,train2/dev_0251.jpg,사진에 보이는 재활용 가능한 플라스틱 용기의 개수는 몇 개인가요?,1개,2개,3개,4개,d
dev_0251.jpg,train2/dev_0251.jpg,사진 속 재활용 가능한 플라스틱 용기의 개수는 몇 개입니까?,1개,3개,4개,2개,c
dev_0255.jpg,train2/dev_0255.jpg,사진에 보이는 재활용품 중 종이상자의 개수는 몇 개인가요?,5개,7개,10개,12개,d
dev_0255.jpg,train2/dev_0255.jpg,사진 속 재활용품 중 종이상자의 개수는 몇 개입니까?,12개,10개,7개,5개,a
dev_0264.jpg,train2/dev_0264.jpg,사진에 보이는 재활용 가능한 플라스틱 병은 몇 개입니까?,1개,2개,3개,없음,b
dev_0264.jpg,train2/dev_0264.jpg,사진 속 재활용 가능한 플라스틱 병은 몇 개인가요?,1개,3개,2개,없음,c
dev_0266.jpg,train2/dev_0266.jpg,사진에 보이는 재활용품 중 플라스틱 재질인 것은 무엇인가요?,과자 봉지,운동화,슬리퍼,양말,a
dev_0266.jpg,train2/dev_0266.jpg,사진 속 재활용품 중 플라스틱 재질인 것은 무엇입니까?,운동화,슬리퍼,과자 봉지,양말,c
dev_0269.jpg,train2/dev_0269.jpg,사진에 보이는 재활용 가능한 플라스틱 컵은 몇 개입니까?,5개,7개,9개,11개,d
dev_0269.jpg,train2/dev_0269.jpg,사진 속 재활용 가능한 플라스틱 컵은 몇 개인가요?,5개,9개,7개,11개,d
dev_0270.jpg,train2/dev_0270.jpg,사진에 보이는 재활용품 중 발포 스티로폼의 개수는 몇 개인가요?,1개,2개,3개,4개,b
dev_0270.jpg,train2/dev_0270.jpg,사진 속 재활용품 중 발포 스티로폼의 개수는 몇 개입니까?,2개,1개,3개,4개,a
dev_0274.jpg,train2/dev_0274.jpg,사진 속 상자 안에 있는 재활용품 중 종이 재질의 과자 상자는 몇 개입니까?,2개,3개,4개,5개,d
dev_0274.jpg,train2/dev_0274.jpg,사진에 보이는 상자 안에 있는 재활용품 중 종이 재질의 과자 상자는 몇 개인가요?,3개,4개,5개,2개,c
dev_0279.jpg,train2/dev_0279.jpg,사진에 보이는 재활용품 중 플라스틱 재질의 용기는 몇 개인가요?,1개,2개,3개,4개,a
dev_0279.jpg,train2/dev_0279.jpg,사진 속 재활용품 중 플라스틱 재질의 용기는 몇 개입니까?,4개,1개,3개,2개,b
dev_0281.jpg,train2/dev_0281.jpg,사진에 보이는 재활용품 중 골판지 상자의 개수는 몇 개인가요?,1개,2개,3개,4개,a
dev_0281.jpg,train2/dev_0281.jpg,사진 속 재활용품 중 골판지 상자의 개수는 몇 개입니까?,1개,4개,2개,3개,a
dev_0282.jpg,train2/dev_0282.jpg,사진에 보이는 리챔 캔은 총 몇 개입니까?,9개,10개,11개,12개,d
dev_0282.jpg,train2/dev_0282.jpg,사진 속 리챔 캔은 총 몇 개인가요?,9개,12개,11개,10개,b
dev_0286.jpg,train2/dev_0286.jpg,사진에 보이는 재활용품 중 플라스틱 컵은 몇 개입니까?,10개,15개,20개,25개,d
dev_0286.jpg,train2/dev_0286.jpg,사진 속 재활용품 중 플라스틱 컵은 몇 개인가요?,25개,10개,15개,20개,a
dev_0288.jpg,train2/dev_0288.jpg,사진에 보이는 재활용품 중 유리병은 몇 개입니까?,1개,2개,3개,4개,a
dev_0288.jpg,train2/dev_0288.jpg,사진 속 재활용품 중 유리병은 몇 개인가요?,4개,1개,2개,3개,b
dev_0292.jpg,train2/dev_0292.jpg,사진에 보이는 재활용품 중 플라스틱 용기는 몇 개입니까?,1개,2개,3개,4개,d
dev_0292.jpg,train2/dev_0292.jpg,사진 속 재활용품 중 플라스틱 용기는 몇 개인가요?,2개,3개,1개,4개,d
dev_0295.jpg,train2/dev_0295.jpg,사진 속 재활용품 중 병(유리병)의 개수는 몇 개인가요?,4개,5개,6개,7개,d
dev_0295.jpg,train2/dev_0295.jpg,사진에 보이는 재활용품 중 병(유리병)의 개수는 몇 개입니까?,7개,5개,4개,6개,a
dev_0297.jpg,train2/dev_0297.jpg,사진에 보이는 재활용품 중 종이상자의 개수는 몇 개인가요?,1개,2개,3개,4개,d
dev_0297.jpg,train2/dev_0297.jpg,사진 속 재활용품 중 종이상자의 개수는 몇 개입니까?,4개,1개,2개,3개,a
dev_0298.jpg,train2/dev_0298.jpg,사진 속 재활용 쓰레기통 안에 있는 종이 상자의 개수는 몇 개인가요?,3개,4개,5개,6개,d
dev_0298.jpg,train2/dev_0298.jpg,사진에 보이는 재활용 쓰레기통 안에 있는 종이 상자의 개수는 몇 개입니까?,3개,6개,4개,5개,b
dev_0300.jpg,train2/dev_0300.jpg,사진 속 선반 위에 놓인 재활용 가능한 종이 포장지는 몇 개입니까?,1개,2개,3개,4개,b
dev_0300.jpg,train2/dev_0300.jpg,사진에 보이는 선반 위에 놓인 재활용 가능한 종이 포장지는 몇 개인가요?,3개,2개,4개,1개,b
dev_0304.jpg,train2/dev_0304.jpg,사진에 보이는 재활용품 중에서 플라스틱 재질로 추정되는 것은 무엇인가요?,파란색 비닐봉지 안의 플라스틱 병들,노란색 쓰레기통,검은색 의자 등받이,종이 상자,b
dev_0304.jpg,train2/dev_0304.jpg,사진 속 재활용품 중에서 플라스틱 재질로 추정되는 것은 무엇입니까?,검은색 의자 등받이,노란색 쓰레기통,파란색 비닐봉지 안의 플라스틱 병들,종이 상자,b
dev_0306.jpg,train2/dev_0306.jpg,사진에 보이는 재활용품 중 신문지는 어디에 쌓여 있나요?,벽 옆 바닥에 쌓여 있다.,박스 위에 쌓여 있다.,나무판자 위에 쌓여 있다.,벽 위 선반에 쌓여 있다.,b
dev_0306.jpg,train2/dev_0306.jpg,사진 속 재활용품 중 신문지는 어디에 쌓여 있습니까?,박스 위에 쌓여 있다.,벽 옆 바닥에 쌓여 있다.,벽 위 선반에 쌓여 있다.,나무판자 위에 쌓여 있다.,a
dev_0309.jpg,train2/dev_0309.jpg,사진에 보이는 재활용품 중 종이 재질의 포장재는 몇 개입니까?,1개,2개,3개,4개,c
dev_0309.jpg,train2/dev_0309.jpg,사진 속 재활용품 중 종이 재질의 포장재는 몇 개인가요?,1개,2개,4개,3개,d
dev_0310.jpg,train2/dev_0310.jpg,사진 속 하얀 봉투 안에 들어있는 재활용품 중 유리병은 몇 개입니까?,1개,2개,3개,4개,d
dev_0310.jpg,train2/dev_0310.jpg,사진에 보이는 하얀 봉투 안에 들어있는 재활용품 중 유리병은 몇 개인가요?,4개,2개,3개,1개,a
dev_0311.jpg,train2/dev_0311.jpg,이 사진에서 재활용할 수 있는 플라스틱 용기는 몇 개입니까?,1개,2개,3개,4개,a
dev_0311.jpg,train2/dev_0311.jpg,이 사진에서 재활용할 수 있는 플라스틱 용기는 몇 개인가요?,4개,1개,2개,3개,b
dev_0329.jpg,train2/dev_0329.jpg,사진 속에서 재활용 가능한 플라스틱 용기는 몇 개 있나요?,1개,2개,3개,4개,a
dev_0329.jpg,train2/dev_0329.jpg,사진에서 재활용 가능한 플라스틱 용기는 몇 개 있습니까?,1개,3개,4개,2개,a
dev_0339.jpg,train2/dev_0339.jpg,책상 위에 있는 재활용 가능한 플라스틱 빨대는 몇 개입니까?,1개,2개,3개,4개,a
dev_0339.jpg,train2/dev_0339.jpg,책상 위에 있는 재활용 가능한 플라스틱 빨대는 몇 개인가요?,1개,3개,2개,4개,a
dev_0346.jpg,train2/dev_0346.jpg,사진에 보이는 재활용 가능한 플라스틱 아이템은 무엇인가요?,보라색 목걸이 줄,검은색 태블릿 펜,태블릿 화면,하얀색 책상,b
dev_0346.jpg,train2/dev_0346.jpg,사진 속 재활용 가능한 플라스틱 아이템은 무엇입니까?,태블릿 화면,하얀색 책상,검은색 태블릿 펜,보라색 목걸이 줄,c
dev_0347.jpg,train2/dev_0347.jpg,사진에 보이는 재활용 가능한 플라스틱 병은 몇 개입니까?,1개,2개,3개,4개,c
dev_0347.jpg,train2/dev_0347.jpg,사진 속 재활용 가능한 플라스틱 병은 몇 개인가요?,1개,4개,2개,3개,d
dev_0363.jpg,train2/dev_0363.jpg,사진에 보이는 재활용 쓰레기 봉투 중 플라스틱 병이 가장 많이 보이는 봉투는 어느 쪽인가요?,왼쪽 첫 번째 봉투,왼쪽 두 번째 봉투,오른쪽 세 번째 봉투,오른쪽 네 번째 봉투,c
dev_0363.jpg,train2/dev_0363.jpg,사진 속 재활용 쓰레기 봉투 중 플라스틱 병이 가장 많이 보이는 봉투는 어느 쪽인가요?,왼쪽 두 번째 봉투,오른쪽 세 번째 봉투,왼쪽 첫 번째 봉투,오른쪽 네 번째 봉투,b
dev_0368.jpg,train2/dev_0368.jpg,사진에 보이는 재활용품 중 종이 재질이 아닌 것은 무엇인가요?,종이봉투,달걀판,종이상자,플라스틱 봉투,d
dev_0368.jpg,train2/dev_0368.jpg,사진 속 재활용품 중 종이 재질이 아닌 것은 무엇입니까?,종이봉투,달걀판,플라스틱 봉투,종이상자,c
dev_0385.jpg,train2/dev_0385.jpg,사진에 보이는 플라스틱 용기의 뚜껑 색상 중 포함되지 않은 것은 무엇인가요?,파란색,노란색,빨간색,초록색,d
dev_0385.jpg,train2/dev_0385.jpg,사진 속 플라스틱 용기의 뚜껑 색상 중 포함되지 않은 것은 무엇입니까?,빨간색,노란색,초록색,파란색,c
dev_0386.jpg,train2/dev_0386.jpg,사진 속 재활용품 중 종이상자의 개수는 몇 개인가요?,2개,3개,4개,5개,d
dev_0386.jpg,train2/dev_0386.jpg,사진에 보이는 재활용품 중 종이상자의 개수는 몇 개입니까?,3개,4개,5개,2개,c
dev_0388.jpg,train2/dev_0388.jpg,사진에 보이는 재활용 가능한 플라스틱 용기의 개수는 몇 개인가요?,1개,2개,3개,4개,b
dev_0388.jpg,train2/dev_0388.jpg,사진 속 재활용 가능한 플라스틱 용기의 개수는 몇 개입니까?,2개,1개,3개,4개,a
dev_0397.jpg,train2/dev_0397.jpg,전자레인지 위에 놓인 일회용 컵의 재활용 분류는 무엇인가요?,플라스틱,종이컵,유리,금속,a
dev_0397.jpg,train2/dev_0397.jpg,전자레인지 위에 놓인 일회용 컵의 재활용 분류는 무엇입니까?,종이컵,플라스틱,유리,금속,b
dev_0401.jpg,train2/dev_0401.jpg,사진에 보이는 재활용품 중 플라스틱 병은 몇 개입니까?,1개,2개,3개,4개,a
dev_0401.jpg,train2/dev_0401.jpg,사진 속 재활용품 중 플라스틱 병은 몇 개인가요?,4개,2개,3개,1개,d
dev_0407.jpg,train2/dev_0407.jpg,사진에 보이는 재활용품 중 플라스틱 병의 개수는 몇 개인가요?,2개,3개,4개,5개,d
dev_0407.jpg,train2/dev_0407.jpg,사진 속 재활용품 중 플라스틱 병의 개수는 몇 개입니까?,4개,2개,5개,3개,c
dev_0408.jpg,train2/dev_0408.jpg,사진에 보이는 재활용 가능한 유리병은 몇 개입니까?,1개,2개,3개,4개,d
dev_0408.jpg,train2/dev_0408.jpg,사진 속 재활용 가능한 유리병은 몇 개인가요?,2개,3개,4개,1개,c
dev_0410.jpg,train2/dev_0410.jpg,사진에 보이는 재활용품 중 플라스틱 컵은 몇 개입니까?,1개,2개,3개,4개,a
dev_0410.jpg,train2/dev_0410.jpg,사진 속 재활용품 중 플라스틱 컵은 몇 개인가요?,4개,2개,1개,3개,c
dev_0418.jpg,train2/dev_0418.jpg,사진에 보이는 재활용 가능한 종이 상자의 개수는 몇 개인가요?,3개,4개,5개,6개,d
dev_0418.jpg,train2/dev_0418.jpg,사진 속 재활용 가능한 종이 상자의 개수는 몇 개입니까?,5개,3개,4개,6개,d
dev_0419.jpg,train2/dev_0419.jpg,사진에 보이는 재활용품 중 플라스틱 병은 몇 개입니까?,2개,3개,4개,5개,c
dev_0419.jpg,train2/dev_0419.jpg,사진 속 재활용품 중 플라스틱 병은 몇 개인가요?,3개,5개,4개,2개,c
dev_0421.jpg,train2/dev_0421.jpg,사진 속 재활용품 중 알루미늄 캔의 개수는 몇 개인가요?,약 10개,약 20개,약 30개,약 40개,c
dev_0421.jpg,train2/dev_0421.jpg,사진에 보이는 재활용품 중 알루미늄 캔의 개수는 몇 개입니까?,약 20개,약 40개,약 10개,약 30개,d
dev_0423.jpg,train2/dev_0423.jpg,사진에 보이는 재활용품 중 골판지 상자의 개수는 몇 개인가요?,1개,2개,3개,4개,d
dev_0423.jpg,train2/dev_0423.jpg,사진 속 재활용품 중 골판지 상자의 개수는 몇 개입니까?,2개,4개,3개,1개,b
dev_0428.jpg,train2/dev_0428.jpg,사진에 보이는 음료 컵 중 플라스틱 컵은 몇 개인가요?,2개,3개,4개,5개,a
dev_0428.jpg,train2/dev_0428.jpg,사진 속 음료 컵 중 플라스틱 컵은 몇 개입니까?,2개,4개,3개,5개,a
dev_0431.jpg,train2/dev_0431.jpg,사진 속 선반 위에 있는 재활용 가능한 플라스틱 용기는 몇 개입니까?,2개,3개,4개,5개,d
dev_0431.jpg,train2/dev_0431.jpg,사진에 보이는 선반 위에 있는 재활용 가능한 플라스틱 용기는 몇 개인가요?,2개,5개,3개,4개,b
dev_0432.jpg,train2/dev_0432.jpg,사진에 보이는 재활용 가능한 플라스틱 병은 몇 개입니까?,2개,4개,6개,8개,d
dev_0432.jpg,train2/dev_0432.jpg,사진 속 재활용 가능한 플라스틱 병은 몇 개인가요?,2개,4개,8개,6개,c
dev_0437.jpg,train2/dev_0437.jpg,사진 속 상자 안에 들어있는 재활용 가능한 종이 상자의 개수는 몇 개인가요?,2개,3개,4개,5개,d
dev_0437.jpg,train2/dev_0437.jpg,사진에 보이는 상자 안에 들어있는 재활용 가능한 종이 상자의 개수는 몇 개입니까?,3개,4개,5개,2개,c
dev_0443.jpg,train2/dev_0443.jpg,사진 속 쓰레기통 위에 보이는 재활용품 중 알루미늄 캔은 몇 개입니까?,1개,2개,3개,4개,a
dev_0443.jpg,train2/dev_0443.jpg,사진에 보이는 쓰레기통 위에 보이는 재활용품 중 알루미늄 캔은 몇 개인가요?,1개,3개,4개,2개,a
dev_0448.jpg,train2/dev_0448.jpg,사진에 보이는 재활용품 중 발포 스티로폼의 개수는 몇 개인가요?,1개,2개,3개,4개,d
dev_0448.jpg,train2/dev_0448.jpg,사진 속 재활용품 중 발포 스티로폼의 개수는 몇 개입니까?,3개,2개,4개,1개,c
dev_0457.jpg,train2/dev_0457.jpg,사진에 보이는 재활용 가능한 유리병의 개수는 몇 개인가요?,1개,2개,3개,4개,b
dev_0457.jpg,train2/dev_0457.jpg,사진 속 재활용 가능한 유리병의 개수는 몇 개입니까?,3개,1개,2개,4개,c
dev_0463.jpg,train2/dev_0463.jpg,사진에 보이는 투명 플라스틱 컵은 총 몇 개입니까?,3개,4개,5개,6개,d
